area_sqr_ft,bedrooms,color,price_lakhs
3774,2,Red,216
1460,3,Gray,88
1894,4,Gray,147
1730,2,Blue,84
1695,1,Blue,77
3692,4,Yellow,219
2238,4,Blue,161
2769,1,Gray,148
1066,2,Green,69
1838,1,Gray,115
930,4,Green,108
2082,5,Green,160
2735,5,Blue,180
3771,3,White,214
3519,1,Red,173
730,1,Blue,47
2285,3,Blue,127
3980,3,White,234
1369,3,Red,118
2991,4,Gray,196
2115,1,Yellow,111
3453,4,Yellow,217
3033,3,Gray,197
1815,1,Blue,116
1555,4,Red,107
2924,4,Blue,191
1784,3,Green,117
1059,1,Blue,71
3985,3,Blue,233
621,1,Gray,17
2900,5,Gray,191
1347,2,Gray,89
3504,2,Yellow,180
1074,2,Green,79
1682,3,Gray,98
3158,5,Red,199
2647,1,Yellow,155
3347,4,White,198
1575,1,Red,94
2406,4,Red,142
789,1,Gray,70
3605,5,White,227
3334,4,White,207
3605,3,Yellow,212
1162,1,White,74
2499,1,Green,119
1867,4,Gray,133
3479,3,White,197
2128,3,Yellow,119
3802,5,Green,249
1246,3,Blue,88
2668,3,Blue,165
3488,3,Green,206
2814,2,Yellow,157
1897,5,Green,164
3035,1,Gray,161
1200,4,Gray,84
2963,1,Blue,154
2661,5,White,188
841,4,Yellow,87
2641,5,Blue,171
3424,3,White,210
3212,4,White,182
3545,3,Gray,218
1963,1,Red,94
2739,1,Red,144
1990,4,Green,150
3603,4,Gray,221
2078,5,White,162
3156,5,Yellow,213
1375,3,Red,111
634,4,White,82
2853,1,Red,148
3752,5,Red,243
2555,5,Red,162
2185,1,Yellow,118
3673,5,Gray,241
1621,3,Yellow,112
3213,4,Blue,205
1729,1,White,94
2100,4,Gray,156
1302,5,Gray,114
3049,5,Gray,197
3377,1,Gray,187
2179,3,Yellow,124
761,2,Gray,63
801,1,Green,39
2581,2,White,161
1595,2,Gray,97
2917,3,White,177
1415,2,Green,94
3942,2,Green,197
1055,3,White,76
1875,2,Red,124
1616,2,Blue,109
2943,2,Red,169
3367,1,Red,164
937,1,Yellow,62
1478,1,Red,91
1676,3,Gray,114
1391,5,Yellow,131
2864,2,Yellow,156
1363,2,Green,83
2835,3,Red,146
979,2,Green,78
1092,1,White,67
3712,5,Blue,218
1780,4,Yellow,111
2662,2,White,144
664,1,White,51
3168,4,Gray,195
1967,5,Blue,140
1752,4,White,117
2627,1,White,130
3295,4,Blue,185
2095,3,Blue,122
3734,4,White,215
1762,2,Blue,114
2122,2,White,124
3240,3,White,183
991,1,Gray,82
2298,2,Red,128
1018,5,White,112
2936,2,Green,183
978,2,Yellow,53
2396,1,Red,130
2878,4,Red,178
3665,2,Red,197
2688,3,Gray,169
3699,4,White,218
2782,5,Gray,184
800,1,White,48
2463,5,Gray,169
1379,4,Gray,97
3577,4,Yellow,226
3704,4,Green,235
3719,5,Gray,239
1102,4,Yellow,91
3054,5,Blue,195
2351,4,Green,150
1404,3,Gray,123
2746,4,Red,186
3331,5,Blue,208
2495,2,Blue,146
3373,4,Yellow,205
2170,2,Blue,134
1560,3,Green,113
3260,1,Gray,183
2085,3,Gray,125
3290,4,Red,205
1628,2,Yellow,83
3889,2,Red,201
1102,5,Blue,113
3414,2,Red,181
997,5,Green,91
1470,1,Gray,83
3442,4,Blue,219
992,5,Red,88
806,1,Yellow,15
1638,2,Green,93
2481,2,Green,156
3539,1,Red,190
2084,2,Gray,137
1463,1,Red,71
3390,5,Blue,203
3912,5,Red,250
1163,1,Green,70
1620,5,Red,134
695,5,Gray,94
2523,5,Yellow,180
2357,3,White,151
3132,4,Red,203
2878,2,Gray,168
3396,3,Gray,208
2278,5,Yellow,173
3842,1,Green,217
1140,5,Gray,100
1659,4,Gray,127
3172,5,Gray,204
1783,1,Gray,90
2322,4,Blue,149
3914,5,Blue,250
3757,4,Green,232
2419,2,Red,144
3225,2,Gray,178
3329,5,Yellow,216
3204,4,Red,208
2197,1,Yellow,104
3660,5,Red,233
3293,2,Green,185
1395,2,Gray,97
1651,5,Gray,119
2243,4,White,167
1963,2,Yellow,120
2581,4,Red,171
1954,2,Red,113
2263,2,Blue,138
2129,3,White,136
2638,2,Blue,163
2096,1,Blue,100
3902,5,Blue,246
2837,5,Yellow,195
3896,4,Yellow,232
2008,2,Green,116
2000,1,Green,106
1906,4,Blue,137
3280,3,White,175
3275,4,Red,213
1572,4,Yellow,113
2368,2,White,139
1882,3,Gray,127
1309,4,Yellow,100
2079,1,Yellow,112
2034,1,Green,91
1248,5,Red,119
917,3,Red,86
3896,3,Gray,207
1857,5,Gray,138
1283,4,Yellow,91
1263,3,Blue,91
2598,1,Green,146
2231,1,Green,131
2095,2,Yellow,135
3904,3,White,238
1736,4,Blue,124
2453,5,Yellow,161
2120,5,Blue,154
3089,4,Blue,200
1163,2,Blue,65
1891,5,Yellow,161
3784,3,Green,228
2236,2,Green,129
3599,3,Blue,202
3752,1,White,190
1298,2,Red,85
2760,5,Yellow,185
601,2,Red,59
1241,2,White,78
2867,2,Yellow,168
2189,2,Blue,129
1454,3,Green,105
2359,1,Red,125
3896,4,Gray,241
3032,2,Gray,178
2261,5,White,167
1753,2,Blue,113
1676,5,Red,124
2307,3,Blue,148
3377,5,Red,231
2295,4,White,159
2333,1,White,116
2039,5,Gray,151
2894,5,Blue,198
1435,1,Yellow,74
802,4,Gray,66
3855,2,Blue,209
722,5,Gray,78
1000,1,Yellow,59
1366,3,Green,82
893,1,Green,60
2927,3,Green,170
3531,4,Green,226
797,2,Red,57
3629,1,Green,191
2530,5,Yellow,174
3399,4,White,203
2791,1,White,174
1208,5,Red,105
3872,1,Green,213
1747,3,Green,106
786,1,Green,53
3997,1,Gray,214
3111,1,Blue,165
2394,4,Gray,153
1259,1,Blue,70
3411,5,Green,216
3602,3,Green,234
2555,3,Gray,157
3050,1,Gray,167
1969,4,Blue,156
2586,4,White,160
2134,5,Blue,157
746,1,Gray,44
3819,3,Yellow,220
3511,4,Gray,213
2334,1,Yellow,119
2443,4,Red,164
1088,4,Gray,83
3576,3,Red,218
2559,2,White,154
2263,5,Blue,158
3198,5,Yellow,205
2985,3,Blue,182
3519,4,Red,207
1240,1,Yellow,90
2402,4,Blue,163
3120,3,Gray,189
2569,5,Green,185
2798,4,Red,174
2038,5,Blue,162
