Years of Experience,Education Level,Age,Location Factor,Salary
29,1,49,7,124204
27,3,45,4,125948
20,4,41,8,116078
14,4,37,5,106486
20,3,42,7,113297
29,4,48,10,148203
35,4,54,3,145164
35,4,55,7,154677
25,4,43,8,130491
17,4,38,5,110171
25,1,41,4,118471
26,4,45,8,136181
19,1,45,8,101427
36,4,53,3,150984
39,3,61,6,149333
14,2,37,5,96628
42,1,61,2,151183
27,4,51,8,128843
16,3,38,6,105121
37,2,54,2,139041
37,1,56,5,140323
16,2,35,1,87293
35,3,57,10,142321
26,1,50,6,121453
44,2,63,9,157897
16,4,35,1,99688
17,1,36,10,111751
0,2,19,3,64848
23,3,45,7,121881
27,3,43,4,124101
14,1,34,9,90380
18,2,39,3,103878
5,1,26,5,74547
31,1,51,3,122343
17,2,35,7,103918
50,2,70,5,166038
19,4,38,9,126062
12,2,32,7,93793
14,3,35,2,95679
6,1,25,4,75649
25,1,44,9,119539
14,3,35,2,104211
29,2,51,10,124193
17,3,37,9,113999
33,3,53,10,142471
25,4,47,5,122789
18,3,40,2,101714
35,1,55,4,131273
30,3,49,7,135995
48,1,69,8,155413
13,1,35,3,82794
18,1,40,1,93906
35,2,55,4,131615
2,4,24,2,71426
37,1,53,8,129719
23,1,44,4,103684
6,2,31,2,69251
5,1,26,6,69080
12,3,33,6,96640
0,3,17,10,77000
15,4,35,4,100168
24,1,46,6,101420
14,2,35,2,92511
33,3,53,10,149764
31,2,56,2,123016
34,2,52,10,141671
20,3,42,4,111014
-1,2,16,8,77893
12,3,32,7,91661
19,2,38,9,109427
13,3,31,8,94390
19,1,38,5,102311
37,4,56,2,146280
2,3,23,5,77514
38,3,58,8,153765
26,4,48,10,141953
21,3,42,9,123190
15,3,32,9,112652
9,2,31,1,74172
3,4,23,9,95465
37,1,57,7,135888
34,3,55,9,143175
6,4,25,8,95354
15,2,34,1,93009
22,1,44,8,105640
17,4,37,8,115133
-2,1,20,3,62941
14,1,33,1,77158
39,1,59,8,152426
14,3,34,3,96291
19,3,38,3,95811
7,2,28,1,68666
26,2,45,5,114682
19,4,41,10,119880
14,2,32,7,97976
4,1,26,10,64482
30,1,54,9,129434
2,3,23,7,74224
24,1,45,9,123452
-2,4,18,8,76649
27,1,47,2,116714
31,1,49,1,124051
29,4,50,7,143916
16,2,38,7,99667
32,2,55,8,133103
42,4,63,5,160375
12,3,36,3,96681
13,1,35,8,90446
23,4,41,6,124403
13,1,35,3,86867
14,3,33,1,89975
11,1,34,3,76659
40,4,57,5,156708
30,1,47,3,119370
16,2,35,1,95669
-1,3,15,5,73859
4,3,24,10,82504
26,3,45,7,123439
0,4,18,7,75646
22,3,42,9,129562
5,2,29,10,84398
21,4,40,10,127080
19,2,40,3,102788
20,1,41,7,101921
16,1,36,1,96321
16,1,35,4,95055
12,1,32,4,85197
25,2,44,5,111973
26,4,48,7,126690
6,4,27,7,90955
20,3,39,4,107500
24,2,41,7,113162
25,1,41,3,107645
21,2,41,6,109917
16,3,35,2,100708
25,3,42,10,127480
24,2,46,9,116461
22,2,41,5,106635
26,2,45,6,127064
31,4,49,4,131741
-1,1,21,10,69815
27,2,49,7,127097
23,2,43,9,118893
8,2,28,7,95339
30,3,48,1,129008
17,3,36,1,109714
16,4,37,9,112244
14,1,34,9,93330
23,4,43,4,124637
15,1,32,9,97192
29,3,49,3,135928
17,3,38,7,111208
16,3,36,6,100777
27,4,47,8,127315
12,2,36,9,97108
28,2,49,5,123054
28,3,49,1,124068
4,2,26,3,78553
33,2,51,10,146395
3,4,25,8,85105
31,1,51,6,119530
